original,transliteration
add, át
resource, rì xuộc
original,ô-ri-gin-nồ
container,công-tê-nơ
singapore,xin-ga-po
wan,oăn
vassos,va-xốt
interflour,in-tơ-phờ-lao
camera,ca-mê-ra
check-in,chét-in
code,cốt
vias,vi-át
chip,chíp
internet,in-tơ-nét
madagui,ma-đa-guôi
vietnam,việt-nam
airlines,e-lai
vietjet,việt-dét
air,e
bamboo,bam-bu
airways,e-uây
pacific,ba-xi-phích
farm,pham
video,vi-đê-ô
talim,ta-lim
taxi,tắc-xi
tokyo,tô-ki-ô
ueno,u-ê-nô
osaka,ô-xa-ca
sangri,sang-ri
ratai,ra-tai
taluy,ta-luy
gas,ga
petrol,pét-trô
cano,ca-nô
abelmoschus,a-ben-mốt-chút
sagittifolius,xa-gít-ti-phô-li-út
nylon,ni-lông
express,ếch-prét
pouyuen,pu-diên
gama,ga-ma
tower,tao-ơ
campuchia,cam-pu-chia
tour,tua
tivi,ti-vi
game,gêm
show,sô
hecta,héc-ta
london,luân-đôn
prodezi,prô-đê-zi
logistics,lô-gít-tích
intelligent,in-tê-li-gân
dog,đóc
foundation,pao-đê-xần
international,in-tơ-na-sơ-nồ
rahul,ra-hun
sehgal,xê-gan
luzon,lu-dâng
philippines,phi-líp-pin
venetian,vê-nê-xần
nail,neo
spa,sờ-pa
california,ca-li-pho-ni-a
tony,tô-ni
mexico,mếch-xi-cô
vinhomes,vin-hôm
grand,rang
park,pác
emart,ê-mát
diesel,đi-ê-zen
mini,mi-ni
led,lét
metropolitan,mê-trô-pô-li-tần
opera,ô-pê-ra
ballet,ba-lê
array,a-rây
constellation,con-tê-lê-xần
meyer,may-ơ
sound,sao
laboratories,la-bo-ra-tô-ri
broadway,brốt-uây
mercedes,mẹc-xê-đét
benz,ben
super,súp-pơ
oxy,ô-xi
visa,vi-sa
mikazuki,mi-ca-du-ki
odaka,ô-đa-ca
yoshimune,yô-si-mu-nê
oligochaeta,ô-li-gô-kê-ta
annelida,an-nê-li-đa
australia,ô-xtrây-li-a
nino,ni-nô
granite,gra-nít
hills,hiu
robot,rô-bốt
canada,ca-na-đa
czech,chéc
italy,i-ta-li-a
bus,buýt
social,xô-sồ
life,lai
cabin,ca-bin
vespa,vét-pa
affinis,áp-phi-nít
vaccine,vắc-xin
hydrogen,hy-drô
kawasaki,ca-oa-xa-ki
takami,ta-ca-mi
kanno,can-nô
atami,a-ta-mi
shizuoka,xi-zu-ô-ca
prenn,pren
taekwang,tê-quang
vina,vi-na
samuooi,xa-mu-ôi
salavan,xa-la-van
savannakhet,xa-van-na-khét
the,đơ
legacy,le-ga-xi
golden,gôn-đần
west,oét
star,xta
city,xi-ti
complex,com-pléc
dreamland,đrim-len
bonanza,bo-nan-za
housinco,hau-xin-cô
premium,pre-mi-um
green,grin
kosmo,cốt-mô
radar,ra-đa
wifi,oai-phai
viba,vi-ba
huoai,hu-oai
kwang,quang
gun,gun
textile,tếch-xtai
festival,phét-ti-vần
tuabin,tu-a-bin
barie,ba-ri-e
anphabe,an-pha-be
stress,xtrét
burn,bơn
out,ao
marketing,mác-kê-tinh
krama,cra-ma
khmer,khơ-me
bangkok,băng-cốc
mumbai,mum-bai
kuala,cu-a-la
lumpur,lum-pơ
malaysia,ma-lai-xi-a
rocket,rốc-két
barrie,ba-ri
rhincodon,rin-cô-đơn
typus,ti-pút
rhincodontidae,rin-cô-đôn-ti-đê
orectolobiformes,ô-réc-tô-lô-bi-pho-mét
xanhthu,xanh-thu
samsung,xa-mung
janet,gia-nét
yellen,yê-lần
viettel,vi-ét-ten
steve,xti-vơ
intel,in-ten
apple,áp-pờ
xiaomi,xi-ao-mi
hapro,ha-prô
vinhome,vin-hôm
ocean,ô-sần
khiba,khi-ba
domine,đô-mi-nê
doksuri,đốc-xu-ri
bengal,ben-gan
world,uơ-nồ
bay,bay
check-in,chéch-in
tih,tích
bryde,brai
dubai,đu-bai
heathrow,hít-th-rô
gar,ga
sekong,xê-kông
online,on-lai
vendor,ven-đơ
foxconn,phốc-côn
luxshare,lắc-se
new,niu
wing,uinh
interconnect,in-tơ-con-néct
technology,téc-nô-lô-gi
lens,len
exchange,ếch-chên
account,ác-cao
name,nêm
bank,bang
district,đít-trích
swift,xu-íp
metro,mê-trô
depot,đê-pô
yakabe,ya-ca-bê
yoshinori,yô-si-nô-ri
keiji,kê-y-zi
hirayama,hi-ra-ya-ma
domaine,đô-mi-nê
carbon,các-bon
thai,thai
asia,a-xi-a
victoria,víc-tô-ri-a
tennessee,ten-nê-xi
texas,tếch-xát
wisconsin,uýt-con-xin
gateway,gết-uây
logo,lô-gô
teu,tê-ê-u
java,gia-va
manis,ma-nít
javanica,gia-va-ni-ca
paris,pa-ri
seoul,xê-un
kon,kon
tum,tum
puma,pu-ma
bulgaria,bun-ga-ri
italia,i-ta-li-a
kpop,ca-póp
vie,vi-ê
rose,rô-giê
piano,pi-a-nô
river,ri-vơ
flows,phờ-lô
youhay,du-hây
rock,rốc
gossip,góp-xíp
casino,ca-xi-nô
tatuy,ta-tuy
ketamin,ké-ta-min
test,tét
numakunai,nu-ma-cu-nai
makoto,ma-cô-tô
kumagai,cu-ma-gai
yuga,yu-ga
sunghai,xung-hai
incheon,in-chơn
narita,na-ri-ta
curitiba,cu-ri-ti-ba
brazil,bra-xin
vietravel,việt-tra-vần
ford,pho
everest,ê-vơ-rét
philippinnes,phi-líp-pin
legacykhi,le-ga-xi-khi
gym,ghim
yoga,yô-ga
hinode,hi-nô-đê
riverside,ri-vơ-xai
garden,ga-đần
hateco,ha-tê-cô
ancora,an-cô-ra
residence,rê-zi-đần
indonesia,in-đô-nê-xi-a
timor,ti-mo
leste,lét-tê
myanmar,mi-an-ma
slum,xămb
alibaba,a-li-ba-ba
equality,i-quân-li-ti
equity,ê-quân-ti
email,i-meo
lincoln,lin-côn
socola,xô-cô-la
youtuber,du-túp-bơ
shipper,xíp-pơ
gamer,ghê-mơ
blogger,blốc-gơ
streamer,xtrim-mơ
fashionista,pha-xần-nít-ta
google,gu-gồ
meta,mê-ta
amazon,a-ma-zon
salesforce,xêu-pho
microsoft,mai-crô-xốp
layoff,lay-óp
alphabet,an-pha-bét
domino,đô-mi-nô
linked,ling-kịt
volatility,vô-la-ti-li-ti
uncertainty,ân-xơ-tần-ti
complexity,com-plếch-xi-ti
ambiguity,am-bi-gu-i-ti
forest,pho-rét
trends,tren
net,nét
zero,zi-rô
border,bo-đơ
adjustment,át-giát-mần
mechanism,mê-ca-ni-giầm
carbonic,các-bo-ních
bangladesh,bang-la-đét
footprint,phút-prin
iris,ai-rít
hiring,hai-ring
freeze,phờ-ri
entry-level,en-tri-lê-vồ
startup,xtát-áp
logic,lô-gíc
poems,pô-êm
from,phờ-rôm
captured,cáp-chờ
documents,đô-cu-mần
john,giôn
cain,kê-in
kerry,ke-ri
patrick,pa-trích
leahy,lê-hy
dioxin,đi-ô-xin
olympic,ô-lim-pích
samantha,xa-man-tha
power,pao-ơ
gara,ga-ra
carbohydrate,các-bo-hy-đrát
calo,ca-lô
saigon,xài-gòn
pet,pét
israel,i-tra-en
startups,xtát-áp
fed,phét
linkway,linh-uây
orchard,ô-chát
covered,cô-vơ-rịt
walkway,oắc-uây
win-win,uin-uin
sir,xơ
stamford,xtam-phốt
raffles,ráp-phần
feet,phít
honey,hon-ni
comb,côm
panels,ba-nần
ninja,nin-gia
bristol,brít-tần
bot,bốt
learning,lơn-ning
alpha,an-pha
sense,xen
deep,đíp
watson,oát-xơn
zealand,zi-lần
link,linh
studio,xtu-đi-ô
gardens,ga-đần
york,yoóc
high,hai
line,lai
skyrise,xcai-rai
greenery,grin-nơ-ri
incentive,in-xen-típ
scheme,x-khim
golf,gốp
boon,bun
yuen,diên
yang,dang
fly,phờ-lai
pikalong,pi-ca-lông
pikachu,pi-ca-chu
sticker,sờ-tích-cơ
zalo,za-lô
nickname,ních-nem
rubber,rúp-bơ
duck,đắc
florentijin,phờ-lo-ren-tin
hofman,hốp-mần
form,phôm
maps,máp
bluetooth,blu-tút
nepal,nê-pan
oman,ô-man
pakistan,pa-kít-xtan
emirati,ê-mi-ra-ti
violet,vai-ô-lét
iberico,i-bê-ri-cô
kobe,cô-bê
wagyu,oa-gu
chile,chi-lê
whiskey,uýt-ki
scotland,xcót-lần
cigar,xi-ga
cuba,cu-ba
nicaragua,ni-ca-ra-gua
homo,hô-mô
deus,đê-út
history,hít-tơ-ri
future,phiu-chờ
yuval,du-van
noah,nô-a
harari,ha-ra-ri
level,lê-vần
caribe,ca-ri-bê
sven,xven
montreal,mông-trê-an
cancun,can-cun
resort,ri-zọt
shopping,xóp-pinh
covid,cô-vít
first,phơ-xtơ
come,cơm
served,xơ-vờ
euro,âu-rô
pittsburgh,pít-bơ
dram,đram
shop,xóp
law,lo
fintech,phin-tếch
amsterdam,am-xtéc-đam
ams,a-mờ-ét
gifted,gíp-tịt
florida,phờ-lo-ri-đa
kat,cát
facebook,phây-búc
web,oét
protect,prô-tếch
europol,âu-rô-pôn
titanic,ti-ta-ních
literature,li-tơ-ra-chờ
informal,in-pho-mần
text,tếch
tzvetan,tvê-tan
todorov,tô-đô-rốp
kiken,ki-ken
kitsui,kít-xui
kitanai,ki-ta-nai
vietin,việt-tin
homestay,hôm-xtây
shimao,xi-mao
group,grúp
avatar,a-va-ta
confession,con-phé-xần
seoi,xê-ôi
lee,li
joo,chu
readiness,rê-đi-nét
vinalines,vi-na-lai
financial,phai-nan-xần
times,tai
geneva,giê-nê-vơ
maersk,méc
tanjung,tan-giung
pelepas,pê-lê-pát
office,óp-phích
notice,nô-tích
file,phai
alexandra,a-lếch-xan-đra
michel,mi-sen
lunar,lu-na
year,diơ
chinese,chai-ní-xơ
polymer,pô-li-me
albufeira,an-bu-phê-ra
benagil,bê-na-gin
faro,pha-rô
lagos,la-gốt
statista,xta-tít-ta
moto,mô-tô
freelance,phờ-ri-len
namthay,nam-thay
public,pắp-lích
corporation,co-pơ-rê-xần
ontario,ôn-ta-ri-ô
alberta,an-bơ-ta
system,xít-tầm
operator,ô-pơ-rê-tơ
harvard,ha-vợt
michael,mai-cơn
sandel,xan-đen
chatbot,chát-bốt
reinforcement,ri-in-pho-mần
human,hiu-mần
feedback,phít-bắc
reward,ri-oọt
model,mô-đen
server,xơ-vơ
straits,xtrết
word,uơ
flex,phờ-lét
your,yo
muscles,mớt-xần
maslow,mát-lô
like,lai
hot,hót
baht,bạt
mustgo,mất-gô
sapa,xa-pa
win,uin
telehealth,te-le-hết
telerad,te-le-rát
getty,ghét-ti
images,i-mếch-giơ
fake,phê-kơ
piantadosi,pi-an-ta-đô-xi
berkeley,bớc-li
python,pai-thần
start-ups,xtát-áp
wikipedia,uy-ki-pê-đi-a
art,át
united,du-nai-tịt
states,xtết
department,đi-pát-mần
health,hếu
and,én
services,xơ-vi-xơ
nobel,nô-ben
fukushima,phu-cu-xi-ma
belarus,bê-la-rút
bataan,ba-tan
westinghouse,oét-ting-hao
electric,i-lếch-trích
general,gien-nơ-rần
uranium,u-ra-ni-um
marcos,mác-cốt
chernobylkinh,ché-nô-bin-kinh
zwentendorf,vần-ten-đoóc
belene,bê-lê-nê
kalkar,can-ca
wyhl,vin
montalto,mông-tan-tô
castro,cá-tơ-rô
shoreham,so-ham
satsop,xát-xốp
seabrook,xi-brúc
hungary,hung-ga-ri
first-of-a,phết-óp-ơ
kind,cai
vogtle,vốc-tơ
georgia,gioóc-gi-a
shin,xin
kori,cô-ri
olkiluoto,ôn-ki-lu-ô-tô
taishan,tai-san
grenoble,grê-nốp
chernobyl,ché-nô-bin
ukraine,u-crai-na
ammonia,a-mô-ni-ắc
henri,hen-ri
paillere,pai-le
chokchai,chốc-chai
thaifex,thai-phếch
foods,phút
jariya,gia-ri-ya
chirathivat,chi-ra-thi-vát
central,xen-trần
comple,com-ple
leningrad,lê-nin-grát
saint,xen
petersburg,pi-tơ-bơ
pizza,pi-za
timesdanh,tai-danh
mursyid,mu-xít
effendi,ê-phen-đi
cup,cắp
tiktok,tíc-tốc
expresscho,ếch-prét-cho
mekong,mê-kông
xahabury,xa-ha-bu-ry
dol,đôn
sahong,xa-hông
tonle,tôn-lê
sap,xáp
series,xê-ri
with,uýt
sue,xu
perkins,pơ-kin
quality,quân-li-ti
index,in-đếch
micromet,mi-crô-mét
mozart,mô-za
hidden,hít-đần
variable,ve-ri-ơ-bờ
kathryn,ca-thờ-rin
paige,pei-giơ
harden,ha-đần
support,xắp-pọt
income,in-cơm
per,pơ
capita,ca-pi-ta
freedom,phờ-ri-đầm
generosity,gien-nơ-ró-xi-ti
where,uê
people,pi-pờ
look,lúc
after,áp-tơ
each,ít-chờ
other,a-đơ
absence,áp-xần
corruption,cóp-rắp-xần
gene,gin
helsinki,hen-xin-ki
nokia,nô-ki-a
bridge,brít
program,prô-gram
start-up,xtát-áp
livestream,lai-xtrim
handcam,han-cam
kim,kim
min,min
kyu,kiu
cheowron,che-o-rôn
content,con-tên
maketing,mát-kê-tinh
jin,gin
guowei,gu-uây
brother,bră-đơ
pomegranate,pô-mi-gra-nát
follows,phô-lô
live,lai
edit,ê-đít
jespers,giét-pơ
erwin,ơ-uynh
albert,an-bợt
einstein,anh-xtanh
economist,i-con-nô-mít
shadows,xa-đâu
shining,xai-ning
light,lai
response,ri-xpon
child,chai
sexual,xác-su-ơ-bờ
abuse,a-biu
app,áp
sale,xêu
room,rum
bancassurance,ban-ca-xu-rần
combo,com-bô
canberra,can-be-ra
anthony,an-thô-ni
bourdain,bo-đen
tridge,trích
woolworth,un-uốt
made,mết
shophouse,xóp-hao
views,viu
facebooker,phây-búc-cơ
millenium,mi-lê-ni-um
kuzminki,cu-min-ki
moscow,mát-xcơ-va
boulogne,bu-lô-nhơ
vincennes,van-xen
urban,ơ-bần
forestry,pho-rét-tri
ebenezer,ê-bê-nê-zơ
howard,hao-vợt
ecology,ê-cô-lô-gi
hib,híp
virus,vi-rút
global,glô-bần
minimum,mi-ni-mầm
tax,tắc
bosch,bốt
sharp,sáp
panasonic,pa-na-xô-ních
thaco,tha-cô
fast,phát
value,va-liu
good,gút
for,pho
you,du
planet,pờ-la-nét
gallon,ga-lông
alexander,a-lếch-xan-đơ
rhodes,rốt
scan,xcét
hawker,hóc-cơ
centre,xen-tơ
rough,ráp
guide,gai
daeya,đa-ê-da
chungcheongnam,chung-cho-nam
